Incident Date,State,City Or County,Address,Killed,Injured
1-May-15,Wisconsin,Milwaukee,3700 block of 37th Street,2,3
27-Apr-15,New York,Brooklyn,1365 Flatbush Ave,2,4
27-Apr-15,Arizona,Gila Bend,State Route 85,2,2
25-Apr-15,New Jersey,Trenton,Wood Street,0,4
25-Apr-15,New York,Gates,24 Hinchey Rd,1,6
21-Apr-15,Texas,Killeen,420 Gilmer St.,2,3
19-Apr-15,Virginia,Richmond,200 block of West Hill Street,0,4
18-Apr-15,Pennsylvania,Williamsport,300 block of Pine Street,0,5
18-Apr-15,Alabama,Montgomery,1800 block of Gibbs Court,0,5
18-Apr-15,North Carolina,Lumberton,Martin Luther King Drive,1,3
18-Apr-15,North Carolina,Charlotte,Bost Street,0,4
18-Apr-15,New Jersey,Patterson,230 Rosa Parks Boulevard,1,3
16-Apr-15,Arizona,Phoenix,4300 block of East Anderson Drive,5,0
7-Apr-15,Georgia,Rome,20 Copeland Street,1,3
5-Apr-15,Pennsylvania,Pittsburgh,Dinwiddie Street,1,3
5-Apr-15,Kentucky,Louisville,40th and Grand Street,1,4
5-Apr-15,Indiana,Indianapolis,5000 block of Wildflower Court,0,5
5-Apr-15,Michigan,Benton Harbor,1000 block of Blossom Lane,0,4
3-Apr-15,Florida,Daytona Beach,300 block of Henry Butts Drive,0,4
2-Apr-15,Maryland,Baltimore,1900 block of West Lanvale Street,0,5
27-Mar-15,Florida,Panama City Beach,5312 Thomas Drive,0,7
26-Mar-15,Texas,Amarillo,3100 block of Redwood,0,4
24-Mar-15,Indiana,Indianapolis,3100 block of North Harding Street,4,0
23-Mar-15,Tennessee,Clarksville,900 block of Carpenter Street,1,4
22-Mar-15,New Mexico,Albuquerque,10140 Lomas NE,1,6
21-Mar-15,Florida,Tampa,1802 Seventh Ave,0,4
20-Mar-15,Texas,Lancaster,1500 block of Reynolds Street,1,5
18-Mar-15,New Jersey,Newark,200 block of Clinton Place,1,3
18-Mar-15,Arizona,Mesa,1504 West Main Street,1,5
17-Mar-15,California,Stockton,748 N Madison St,3,4
15-Mar-15,California,Compton,2700 block of West Alondra Boulevard,0,4
14-Mar-15,Georgia,Atlanta,2900 block of Delmar Lane,0,5
14-Mar-15,California,Coachella,84000 block of Bagdad Avenue,0,4
13-Mar-15,Mississippi,Brookhaven,1097 South First St.,2,3
10-Mar-15,Georgia,Columbus,3023 Victory Drive,0,5
9-Mar-15,Illinois,Chicago,200 block of West 105th,1,3
8-Mar-15,South Carolina,Seneca,Wells Highway,1,3
4-Mar-15,California,San Bernardino,190 block of West Club Center Drive,2,5
1-Mar-15,Florida,Orange County,4900 block of Steyr Street,0,4
1-Mar-15,Michigan,Detroit,9855 Chalmers St,1,5
28-Feb-15,Maryland,Baltimore,4300 block of Welbourne Road,1,3
26-Feb-15,Missouri,Tyrone,18279 Highway H,8,1
25-Feb-15,Texas,Houston,Mallow St.,3,3
22-Feb-15,Texas,Killeen,1706 Godman St.,4,1
22-Feb-15,Georgia,Clarkesville,281 Lower Pond Court,3,2
22-Feb-15,South Carolina,Charleston,4224 Dorchester Road,0,4
20-Feb-15,California,Sacramento,1417 R Street,0,4
17-Feb-15,Arkansas,Little Rock,7900 Scott Hamilton,1,3
15-Feb-15,California,Long Beach,200 block of W. 14th Street,0,5
9-Feb-15,Florida,New Port Richey,9552 Adler Street,3,1
8-Feb-15,Tennessee,Maury City,251 Dupree Road,0,6
7-Feb-15,Georgia,Douglasville,3640 Willow Tree Circle,5,2
6-Feb-15,Oklahoma,Tulsa,1219 N. Sheridan Road,1,4
5-Feb-15,Ohio,Beachwood (Warrensville Heights),Harvard Road,3,3
1-Feb-15,New York,Syracuse,1217 West Fayette Street,0,6
1-Feb-15,New York,New York (Manhattan),3345 Broadway,1,4
31-Jan-15,Georgia,Lagrange,100 block of Woodstream Trail,4,0
28-Jan-15,Georgia,Dekalb County,1600 block of Panola Road,1,3
26-Jan-15,California,Stockton,1500 block of E. 9th Street,1,3
24-Jan-15,New York,Arverne (Queens),231-11 148th Avenue,4,1
24-Jan-15,Nebraska,Omaha,3402 Parker St,3,5
23-Jan-15,Massachusetts,Boston,954 Parker Street,0,6
20-Jan-15,Tennessee,Clarksville,321 Lansinger Lane,1,3
19-Jan-15,Texas,San Antonio,1000 block of Gibbs St.,2,5
16-Jan-15,California,Oakland,105th and Edes,2,2
13-Jan-15,Virginia,Portsmouth,4100 block of Portsmouth Boulevard,0,5
13-Jan-15,Illinois,Rockford,700 block of Oakley Avenue,2,2
11-Jan-15,North Carolina,Hope Mills,1900 block of Gumberry Road,2,5
11-Jan-15,Florida,Lakeland,7665 Chase Road,1,3
11-Jan-15,California,San Jose,3840 Monterey Hwy,0,5
10-Jan-15,Kansas,Wichita,4859 E Harry Street,2,2
9-Jan-15,California,San Francisco,Laguna and Page streets,4,0
8-Jan-15,Massachusetts,Boston,104 Harrishof Street,1,3
7-Jan-15,Tennessee,Chattanooga,773 West Main Street,1,3
6-Jan-15,Florida,Miami,1300 block of NW 62nd Street,1,3
4-Jan-15,Virginia,Roanoke,3634 Shenandoah Ave NW,2,4
4-Jan-15,Texas,Dallas,2000 block of Ben Hur St.,3,1
2-Jan-15,Georgia,Savannah,500 block of W. 54th Street,1,4
1-Jan-15,Tennessee,Memphis,Interstate 240 and Poplar Avenue,0,5
31-Dec-14,California,Los Angeles,81st Street and Western Avenue,1,3
29-Dec-14,Louisiana,New Orleans,Poydras and Bolivar,0,4
27-Dec-14,California,Los Angeles,8800 block of South Figueroa Street,1,3
27-Dec-14,California,Sacramento,4000 block of May Street,0,4
26-Dec-14,Illinois,East St. Louis,2500 block of Summit Avenue,1,3
24-Dec-14,Missouri,Saint Louis,18th and Pine,1,3
23-Dec-14,Kentucky,Winchester,260 Oxford Drive,1,3
22-Dec-14,New York,Webster,191 Lake Road,3,2
22-Dec-14,Michigan,Detroit,Charlevoix and Philip,1,3
22-Dec-14,Illinois,Chicago,5700 block of South Green Street,0,5
21-Dec-14,Florida,Sarasota,South Washington Boulevard,2,2
21-Dec-14,Mississippi,Waynesboro,Central Avenue,1,4
21-Dec-14,Illinois,Calumet City,600 block of Escanba,1,8
20-Dec-14,Illinois,Rockford,3200 block of Montrose Avenue,4,0
16-Dec-14,New Jersey,Elizabeth,Anna Street,0,4
14-Dec-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4
13-Dec-14,Florida,Tampa,810 E. Skagway Ave.,0,5
12-Dec-14,Oregon,Portland,717 North Killingsworth Court,0,4
12-Dec-14,Georgia,Macon,2822 Bloomfield Drive,3,3
