Incident Date,State,City Or County,Address,Killed,Injured
25-Apr-16,Tennessee,Nashville,400 Charlotte Avenue,0,4
25-Apr-16,Florida,Miami,1506 Northwest 70th Street,0,5
24-Apr-16,Virginia,Halifax,1055 L P Bailey Memorial Hwy,0,5
24-Apr-16,Illinois,Chicago (Englewood),2000 block of West 68th Place,2,3
24-Apr-16,Colorado,Denver,1400 Block of 14th Street,0,4
23-Apr-16,Nevada,Las Vegas,1650 South Hollywood Boulevard,1,3
23-Apr-16,Alabama,Auburn,1200 block of Lee Road 83,3,1
23-Apr-16,Kansas,Topeka,3732 S.W. Topeka Boulevard,1,4
23-Apr-16,New York,New York (Manhattan),West 141st Street and Edgecombe Avenue,0,4
22-Apr-16,Ohio,Piketon,4077 Union Hill Road,8,0
22-Apr-16,Georgia,Appling,3162 Johnson Drive,6,0
21-Apr-16,Maryland,Baltimore,4800 block of Frankford Avenue,0,4
19-Apr-16,Alabama,Blountsville,81551 Us Highway 278,1,4
19-Apr-16,Illinois,Chicago,2700 block of West 53rd Street,1,3
19-Apr-16,Illinois,Chicago,1400 block of West 84th Street,1,4
18-Apr-16,California,Long Beach,1200 block of E. 17th Street,1,3
17-Apr-16,Pennsylvania,Philadelphia,600 block of Westmoreland Street,3,1
17-Apr-16,South Carolina,Pelzer,200 block of Eastview Road,1,3
17-Apr-16,Texas,Edinburg,5021 W St Hwy 107,1,6
16-Apr-16,Michigan,Detroit,9500 block of Oakland,1,4
16-Apr-16,Florida,Orlando,1100 block of Conley Street,2,4
16-Apr-16,Alabama,Enterprise,Baxter Street,0,4
14-Apr-16,New Jersey,Orange,Taylor Street,1,3
10-Apr-16,Wisconsin,Milwaukee,76th and Sheridan,1,3
10-Apr-16,California,Los Angeles,84th Street and Towne Avenue,0,4
9-Apr-16,Tennessee,Memphis,Mt Moriah Road and Ridgeway Road,0,4
9-Apr-16,Alabama,Anniston,West 15th Street and Crawford Avenue,0,4
9-Apr-16,New Mexico,Albuquerque,2600 block of Mesa Drive SE,0,4
7-Apr-16,Illinois,Chicago,2200 block of East 70th Place,0,4
31-Mar-16,Illinois,Chicago (Englewood),6800 block of South Throop,0,4
25-Mar-16,Illinois,Chicago,4500 block of West West End Avenue,0,4
25-Mar-16,Colorado,Denver,8501 E. Alameda Avenue,0,4
21-Mar-16,Illinois,Chicago,5700 block of West Washington Boulevard,0,4
19-Mar-16,Florida,Plantation,12050 NW 4th Court,1,4
19-Mar-16,Alabama,Wetumpka,South Shelby Street,2,2
15-Mar-16,Georgia,Atlanta,Donald Lee Hollowell Drive,0,5
13-Mar-16,Florida,Fort Myers,50 South Road,0,4
12-Mar-16,Oregon,Portland,16126 S.E. Stark St.,0,4
12-Mar-16,California,Oakland,Interstate 880,0,4
11-Mar-16,Michigan,Detroit,2600 Block of Hazelwood,2,2
11-Mar-16,New Jersey,Trenton,Oliver Avenue,0,5
9-Mar-16,Pennsylvania,Pittsburgh (Wilkinsburg),1304 Franklin Avenue,5,3
8-Mar-16,Texas,San Antonio,Sherman Street,2,3
7-Mar-16,Louisiana,Lafayette,800 block of Martin Luther King Jr. Drive,0,4
7-Mar-16,Kansas,Kansas City,3000 block of South 36th Street,5,0
6-Mar-16,Massachusetts,Chelsea,120 Washington Avenue,1,6
6-Mar-16,Georgia,Roswell,890 Atlanta St,0,4
6-Mar-16,California,Compton,900 block of West Victoria Street,1,8
5-Mar-16,Kansas,Wichita,116 North Mead,0,4
4-Mar-16,Ohio,Columbus,900 E. 5th Ave.,1,3
28-Feb-16,Michigan,Detroit,8800 block of Livernois,0,5
28-Feb-16,California,Riverside (Jurupa Valley),5500 block of Etiwanda Avenue,1,3
27-Feb-16,Virginia,Woodbridge (Lake Ridge),13051 Lashmere Court,2,2
26-Feb-16,Washington,Belfair,300 block of Horseshoe Rd.,5,0
25-Feb-16,Kansas,Hesston,200 S Ridge Rd,4,14
23-Feb-16,Arizona,Glendale,4812 West Sunnyside Ave,5,0
23-Feb-16,Florida,Daytona Beach,1042 Sheridan Road,0,4
